ID,Name,Series,PS,MATS6v,MATS2i,GATS4i,GGI8,JGI8,SpMin5_Bh(s),Eta_F_A
1,SEN-01,Training,30,0.001,-0.167,1.087,0.346,0.006,1.353,0.365
2,SEN-02,Test,24,0.011,-0.169,1.074,0.444,0.008,1.356,0.367
3,SEN-03,Training,18,0.032,-0.171,1.048,0.543,0.009,1.358,0.37
4,SEN-04,Training,27,-0.012,-0.077,1.365,0.099,0.008,0.923,0.802
5,SEN-05,Training,26,-0.155,-0.108,0.976,0.107,0.007,0.853,0.728
6,SEN-06,Training,51,-0.012,-0.002,0.557,0.46,0.016,1.121,0.713
7,SEN-07,Training,37,-0.033,-0.066,1.05,0.254,0.011,0.928,0.71
8,SEN-08,Training,34,0.033,-0.117,1.096,0.288,0.009,1.034,1.051
9,SEN-09,Training,44,-0.06,-0.053,1.154,0.369,0.012,1.022,1.101
10,SEN-10,Training,45,-0.01,-0.053,1.194,0.361,0.011,1.029,1.095
11,SEN-11,Training,37,-0.027,-0.166,0.995,0.361,0.011,1.011,1.157
12,SEN-12,Training,28,-0.051,-0.161,1.157,0.198,0.006,1.048,1.044
13,SEN-13,Training,28,0.094,-0.173,1.177,0.14,0.008,0.967,0.628
14,SEN-14,Training,31,0.016,-0.192,1.071,0.189,0.006,1.172,0.624
15,SEN-15,Training,29,-0.11,-0.036,1.243,0.346,0.009,1.048,1.1
16,SEN-16,Test,42,-0.017,0.141,1.057,0.427,0.008,1.059,1.128
17,SEN-17,Training,24,-0.051,-0.176,1.179,0.304,0.008,1.034,1.208
18,SEN-18,Training,26,-0.115,-0.145,1.062,0.378,0.009,1.198,0.848
19,SEN-19,Training,28,0.039,-0.137,1.176,0.395,0.008,1.034,1.097
20,SEN-20,Training,23,-0.026,-0.18,0.999,0.385,0.009,1.027,1.248
21,SEN-21,Training,23,0.028,-0.145,1.111,0.55,0.009,1.21,1.057
22,SEN-22,Test,27,0.093,-0.12,1.104,0.624,0.009,1.221,0.958
23,SEN-23,Test,0,-0.072,-0.196,1.148,0.127,0.007,0.414,1.039
24,SEN-24,Training,0,-0.135,-0.305,1.05,0.041,0.02,0,0.929
25,SEN-25,Training,3,-0.127,-0.313,1.034,0.02,0.02,0,0.908
26,SEN-26,Training,24,0.103,0.086,1.119,0.345,0.009,0.483,1.149
27,SEN-27,Training,24,0.104,0.073,1.16,0.278,0.008,0.497,1.119
28,SEN-28,Test,25,0.028,-0.225,0.982,0.369,0.008,0.942,1.046
29,SEN-29,Training,24,0.037,-0.208,1.022,0.303,0.007,1.007,1.023
30,SEN-30,Training,27,0.048,0.107,1.127,0.254,0.007,0.529,1.127
31,SEN-31,Test,28,0.056,0.091,1.165,0.188,0.006,0.53,1.097
32,SEN-32,Training,31,-0.093,-0.083,1.077,0.509,0.01,1.323,0.895
33,SEN-33,Training,26,-0.004,-0.134,1.001,0.558,0.01,1.032,1.281
34,SEN-34,Training,0,0.038,-0.282,1.099,0.132,0.005,0.449,1.128
35,SEN-35,Training,4,0.092,-0.188,1.206,0.181,0.005,0.452,1.178
36,SEN-36,Test,9,0,-0.21,1.019,0.148,0.005,1.258,0.102
37,SEN-37,Training,-20,-0.216,-0.12,0.979,0,0,0.245,1.025
38,SEN-38,Training,38,-0.025,-0.128,1.073,0.129,0.004,0.972,1.196
39,SEN-39,Training,33,-0.146,-0.003,1.218,0.156,0.005,1.144,1.097
40,SEN-40,Training,40,-0.103,0.037,1.264,0.156,0.004,1.144,1.037
41,SEN-41,Training,16,0.03,-0.086,1.167,0.895,0.01,1.01,1.407
42,SEN-42,Training,32.9,-0.05,0.027,1.04,0.437,0.007,1.018,1.165
43,SEN-43,Test,31.7,-0.028,-0.046,1.011,0.511,0.006,1.452,1.02
44,SEN-44,Training,34.6,-0.016,-0.055,1.01,0.462,0.005,1.498,0.984
45,SEN-45,Test,34.9,-0.013,0.046,1.157,0.401,0.009,1.144,1.212
