Name,SMILES
SEN-01,O=C(COCC(=O)N(CCCCCCCC)CCCCCCCC)N(CCCCCCCC)CCCCCCCC
SEN-02,O=C(C(C)OCC(=O)N(CCCCCCCC)CCCCCCCC)N(CCCCCCCC)CCCCCCCC
SEN-03,O=C(C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC)N(CCCCCCCC)CCCCCCCC
SEN-04,O=C(N(CC)CC)c1cccc(C(=O)N(CC)CC)n1
SEN-05,O=C(N1CCCCC1)c1cccc(C(=O)N2CCCCC2)n1
SEN-06,O=C(N(CC(C)C)CC(C)C)c1cccc(C(=O)N(CC(C)C)CC(C)C)n1
SEN-07,O=C(N(C)C1CCCCC1)c1nc(C(=O)N(C)C2CCCCC2)ccc1
SEN-08,O=C(N1CCCc2c1cccc2)c1nc(C(=O)N2CCCc3c2cccc3)ccc1
SEN-09,O=C(N(CC)c1c(C)cccc1)c1nc(C(=O)N(CC)c2ccccc2C)ccc1
SEN-10,O=C(N(CC)c1ccc(C)cc1)c1nc(C(=O)N(CC)c2ccc(C)cc2)ccc1
SEN-11,O=C(N(CC)c1ccc(F)cc1)c1nc(C(=O)N(CC)c2ccc(F)cc2)ccc1
SEN-12,O=C(NCCOc1ccccc1)c1nc(C(=O)NCCOc2ccccc2)ccc1
SEN-13,O=C(NCCSCC)c1nc(C(=O)NCCSCC)ccc1
SEN-14,O=C(NCCOCCCCCCCC)c1nc(C(=O)NCCOCCCCCCCC)ccc1
SEN-15,O=C(NCCOc1ccccc1OC)c1nc(C(=O)NCCOc2c(OC)cccc2)ccc1
SEN-16,O=C(N(COC)CCOc1ccccc1)c1nc(C(=O)N(COC)CCOc2ccccc2)ccc1
SEN-17,O=C(N(c1ccccc1)CC)c1cccc(c2nc(C(=O)N(c3ccccc3)CC)ccc2)n1
SEN-18,O=C(N(CCCC)CCCC)c1cccc(c2nc(C(=O)N(CCCC)CCCC)ccc2)n1
SEN-19,O=C(N(c1ccccc1)CC)c1cc(Br)cc(c2nc(C(=O)N(c3ccccc3)CC)cc(Br)c2)n1
SEN-20,O=C(N(c1ccc(F)cc1)CC)c1cccc(c2nc(C(=O)N(c3ccc(F)cc3)CC)ccc2)n1
SEN-21,O=C(N(c1ccc(CCCCCC)cc1)CC)c1cccc(c2nc(C(=O)N(c3ccc(CCCCCC)cc3)CC)ccc2)n1
SEN-22,O=C(N(c1ccc(CCCCCC)cc1)CC)c1cc(Br)cc(c2nc(C(=O)N(c3ccc(CCCCCC)cc3)CC)cc(Br)c2)n1
SEN-23,O=C(N(c1ccccc1)CC)c1cccc(c2ncccc2)n1
SEN-24,O=C(O)c1cccc(c2ncccc2)n1
SEN-25,N#Cc1cccc(c2ncccc2)n1
SEN-26,O=c1[nH][nH]c(=O)n1/N=C/c1c(OCCOc2ccccc2/C=N/n2c(=O)[nH][nH]c2=O)cccc1
SEN-27,O=c1[nH][nH]c(=O)n1/N=C/c1c(OCCOCCOc2ccccc2/C=N/n2c(=O)[nH][nH]c2=O)cccc1
SEN-28,Sc1nnc(CC)n1/N=C/c1c(OCCOc2ccccc2/C=N/n2c(CC)nnc2S)cccc1
SEN-29,Sc1nnc(CC)n1/N=C/c1c(OCCOCCOc2ccccc2/C=N/n2c(CC)nnc2S)cccc1
SEN-30,Nc1nncn1/N=C/c1c(OCCOc2ccccc2/C=N/n2c(N)nnc2)cccc1
SEN-31,Nc1nncn1/N=C/c1c(OCCOCCOc2ccccc2/C=N/n2cnnc2N)cccc1
SEN-32,O=C(N(CCCC)CCCC)c1nc2c3c(ccc(C(=O)N(CCCC)CCCC)n3)ccc2cc1
SEN-33,O=C(N(c1ccc(F)cc1)CC)c1nc2c3c(ccc(C(=O)N(CC)c4ccc(F)cc4)n3)ccc2cc1
SEN-34,O=C(N/N=C/c1ncccc1)c1nc(C(=O)N/N=C\c2ncccc2)ccc1
SEN-35,O=C(N/N=C/c1c(O)cccc1)c1nc(C(=O)N/N=C\c2c(O)cccc2)ccc1
SEN-36,O=P(CCCCCCCC)(CCCCCCCC)CCCCCCCC
SEN-37,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
SEN-38,O=P(c1ccccc1)(c1ccccc1)CP(=O)(c1ccccc1)c1ccccc1
SEN-39,O=P(c1ccccc1)(c1ccccc1)COCCOCCOCP(=O)(c1ccccc1)c1ccccc1
SEN-40,O=P(c1ccccc1)(c1ccccc1)COCCOCCOCCOCCOCCOCP(=O)(c1ccccc1)c1ccccc1
SEN-41,CP(=O)(c1c(OCP(=O)(c2ccccc2)c2ccccc2)cccc1)c1ccccc1OCP(=O)(c1ccccc1)c1ccccc1
SEN-42,CCCN(CCN(CCC)CC(=O)CP(=O)(c1ccccc1)c1ccccc1)CC(=O)CP(=O)(c1ccccc1)c1ccccc1
SEN-43,O=C(CP(=O)(c1ccccc1)c1ccccc1)CN(CCCCCCCC)CCCCN(CCCCCCCC)CC(=O)CP(=O)(c1ccccc1)c1ccccc1
SEN-44,O=C(CP(=O)(c1ccccc1)c1ccccc1)CN(CCCCCCCC)CCCCCCN(CCCCCCCC)CC(=O)CP(=O)(c1ccccc1)c1ccccc1
SEN-45,O=C(CP(=C)(c1ccccc1)c1ccccc1)N1CCN(C(=O)CP(=O)(c2ccccc2)c2ccccc2)CC1
